web-scraper-order,web-scraper-start-url,plantname,image-src,pagination,price
"1668890330-336","https://www.rareplantfairy.com/collections/all-plants?page=1","Monstera deliciosa 'Thai constellation' starter (mid-high color) *Grower's choice*","//cdn.shopify.com/s/files/1/0587/1481/6720/products/DSC00923_300x.jpg?v=1659482749","","$195.00"
"1668890330-337","https://www.rareplantfairy.com/collections/all-plants?page=1","Monstera deliciosa 'Thai constellation' starter (mid color) *Grower's choice*","//cdn.shopify.com/s/files/1/0587/1481/6720/products/DSC00908_300x.jpg?v=1659482720","","$145.00"
"1668890330-338","https://www.rareplantfairy.com/collections/all-plants?page=1","Alocasia 'Jacklyn' or 'Jaclyn' *Grower's choice*","//cdn.shopify.com/s/files/1/0587/1481/6720/products/DSC00887_3ad89dbc-78ac-4439-b8f1-d9cadde7bca6_300x.jpg?v=1659482659","","$115.00"
"1668890330-339","https://www.rareplantfairy.com/collections/all-plants?page=1","Philodendron Paraiso verde *Grower's choice*","//cdn.shopify.com/s/files/1/0587/1481/6720/products/DSC00926_300x.jpg?v=1659482784","","$55.00"
"1668890330-340","https://www.rareplantfairy.com/collections/all-plants?page=1","Anthurium magnificum seedlings *grower's choice*","//cdn.shopify.com/s/files/1/0587/1481/6720/products/DSC00849_70bf0a64-49d9-432e-a075-2df614bd9afc_300x.jpg?v=1659482534","","$35.00"
"1668890330-341","https://www.rareplantfairy.com/collections/all-plants?page=1","Philodendron gloriosum dark form starter *grower's choice*","//cdn.shopify.com/s/files/1/0587/1481/6720/products/DSC03672_0cb8c3f6-e1b6-4211-94c3-e32f73fde7bb_300x.jpg?v=1662760992","","$35.00"
"1668890330-342","https://www.rareplantfairy.com/collections/all-plants?page=1","Musa Florida variegated banana tree *grower's choice*","//cdn.shopify.com/s/files/1/0587/1481/6720/products/DSC04717_ced65d39-32f2-40e1-a04c-aa45954bd48c_300x.jpg?v=1663808323","","$195.00"
"1668890330-343","https://www.rareplantfairy.com/collections/all-plants?page=1","Alocasia azlanii starter *grower's choice*","//cdn.shopify.com/s/files/1/0587/1481/6720/products/DSC08312_4d424688-e15a-46d4-829c-d7739a4399fd_300x.jpg?v=1668804206","","$20.00"
"1668890330-344","https://www.rareplantfairy.com/collections/all-plants?page=1","Philodendron tortum starter *grower's choice*","//cdn.shopify.com/s/files/1/0587/1481/6720/products/DSC03687_300x.jpg?v=1662761047","","$35.00"
"1668890330-345","https://www.rareplantfairy.com/collections/all-plants?page=1","Philodendron white knight (Mid-high color) *grower's choice*","//cdn.shopify.com/s/files/1/0587/1481/6720/products/DSC07940_300x.jpg?v=1656111160","","$95.00"
"1668890330-346","https://www.rareplantfairy.com/collections/all-plants?page=1","Epipremnum pinnatum 'skeleton key' *Grower's choice*","//cdn.shopify.com/s/files/1/0587/1481/6720/products/DSC03758_ad1e9fd1-fc44-4947-a7de-c16feeb5649e_300x.jpg?v=1662762039","","$10.00"
"1668890330-347","https://www.rareplantfairy.com/collections/all-plants?page=1","Philodendron joepii *grower's choice* (Small)","//cdn.shopify.com/s/files/1/0587/1481/6720/products/DSC05362_300x.jpg?v=1664575459","","$75.00"
"1668890330-348","https://www.rareplantfairy.com/collections/all-plants?page=1","Philodendron white princess starter *grower's choice*","//cdn.shopify.com/s/files/1/0587/1481/6720/products/DSC04178_300x.jpg?v=1663367040","","$45.00"
"1668890330-349","https://www.rareplantfairy.com/collections/all-plants?page=1","Monstera deliciosa 'Thai constellation' starter (low color) *Grower's choice*","//cdn.shopify.com/s/files/1/0587/1481/6720/products/DSC02145_422d3976-ad1b-43dc-8468-41db033065bd_300x.jpg?v=1660949649","","$95.00"
"1668890330-350","https://www.rareplantfairy.com/collections/all-plants?page=1","Syngonium mojito *Grower's choice*","//cdn.shopify.com/s/files/1/0587/1481/6720/products/DSC07017_300x.jpg?v=1655503418","","$55.00"
"1668890330-351","https://www.rareplantfairy.com/collections/all-plants?page=1","Anthurium dorayaki F2 *Grower's choice*","//cdn.shopify.com/s/files/1/0587/1481/6720/products/DSC00865_2b095608-dea7-40a6-a037-461ae82e3e03_300x.jpg?v=1659482583","","$65.00"
